news_headline,news_article,news_category
Tottenham Hotspur sack manager Jose Mourinho: Report,"With Tottenham winning just once in their past six games, the club on Monday reportedly sacked manager Jose Mourinho. Currently, Tottenham are seventh in Premier League standings and were knocked out of the Europa League last month following a 3-2 aggregate defeat against Dinamo Zagreb in the round of 16. Mourinho was appointed as manager in November 2019.",sports
Britain adds India to travel 'red list' amid 'concerns over new COVID-19 variant',"Britain has added India to its 'red list' of countries from which most travel to the UK is banned, reports said on Monday. The move comes amid concerns over a new variant of coronavirus, UK Health Secretary Matt Hancock was quoted as saying by BBC. It effectively bans all arrivals from India except for British or Irish nationals.",world
Hong Kong bans flights from India after detecting N501Y mutant COVID-19 strain,"Hong Kong has suspended flights from India, Pakistan and the Philippines from April 20 for two weeks after the N501Y mutant COVID-19 strain was detected there for the first time, authorities said in a statement on Sunday. Hong Kong has also placed the three countries under the category of ""extremely high-risk Group A"", according to an official release.",world
UK PM Boris Johnson's India visit cancelled in view of COVID-19 situation,"The Ministry of External Affairs on Monday said that it was decided by a mutual agreement that the United Kingdom's Prime Minister Boris Johnson will not visit India next week in view of the COVID-19 situation. ""The two sides will be holding a virtual meeting in the coming days to launch plans for a transformed India-UK relationship,"" the MEA added.",world
Oxford University to reinfect recovered COVID-19 patients for study,"The University of Oxford in a first-of-its-kind trial will deliberately reinfect people who have fought off the COVID-19 virus. Sixty-four healthy, previously COVID-19 infected volunteers aged between 18-30 years, will be studied under controlled and quarantined conditions for at least 17 days. It will help researchers examine what kind of immune response could prevent reinfection from COVID-19.",world
"Tesla electric car with no one in driver's seat crashes into tree in US, 2 killed","A Tesla electric car with no one in driver's seat crashed into a tree in US' Texas, killing two. One of the persons was sitting in the front passenger seat and another in a rear passenger seat, police said. The car was reportedly travelling fast and failed to navigate a turn before hitting a tree and bursting into flames.",world
300-million-yr-old ‘Godzilla Shark' discovered in 2013 gets formal name,"A shark that was discovered in New Mexico in May 2013 and was initially called ""Godzilla Shark"" has received a formal name. The 300-million-year-old shark, whose fossils were found at a dig east of Albuquerque, has been named Dracopristis hoffmanorum or Hoffman's Dragon Shark. The name honours the family that owns the land where the fossils were found.",world
Nearly 100 injured after passenger train derails in Egypt,"At least 97 people were injured after a passenger train derailed in Egypt on Sunday, the Egyptian Health Ministry said. Over 50 ambulances were sent to the scene and the wounded were transferred to public hospitals, it added. Two security sources and local media reported that several people had been killed in the accident, but there was no official confirmation. ",world
"Former sheriff's deputy shoots dead three people in US, absconding","A former sheriff's deputy allegedly shot dead three people in Austin, Texas on Sunday and is since absconding, said officials. The suspect, Stephen Broderick, was arrested for sexual assault of a child last year and was released on $50,000 bond, officials added. Police said the victims - two Hispanic women and one Black man - were all known to Broderick.",world
"Australia, New Zealand open quarantine-free travel bubble","Australia and New Zealand on Monday opened a travel bubble between them that doesn't require the travellers to quarantine. ""Today's milestone is a win-win for Australians and New Zealanders, boosting our economies while keeping our people safe,"" Australian PM Scott Morrison said. The two countries have been successful in controlling the spread of coronavirus and keeping the infection rates low.",world
UK opp'n urges PM to cancel India visit over new COVID-19 variant,"The UK's opposition Labour Party on Sunday called on PM Boris Johnson to cancel his visit to India amid growing concerns of a new ""double mutant"" COVID-19 variant detected in the country. ""I can't see why the PM can't conduct his business with the Indian government via Zoom,"" a Labour leader said. The COVID-19 variant was discovered last month.",world
Half of US adults have received at least 1 shot of COVID-19 vaccine,"More than 50% of all adults, nearly 13 crore people, in America have received at least one dose of a COVID-19 vaccine, the US Centers for Disease Control and Prevention (CDC) announced on Sunday. Almost 8.4 crore adults have been fully vaccinated, the CDC added. The US is the worst coronavirus hit country with over 3.10 crore cases.",world
S Korea proposes law to ban internet file-sharing with N Korea,"South Korea on Monday proposed a law that would require its citizens to get official permission before using the internet to exchange digital material with anyone in North Korea. A law already regulates physical goods sent into or out of North Korea, a government spokesperson said. In December, South Korea had banned the launching of propaganda leaflets into the North.",world
China could remove Gates & Jobs' biographies from schools: Report,"The Chinese government could remove Microsoft Founder Bill Gates and Apple Founder Steve Jobs' biographies from reading lists and libraries in primary and secondary schools, Business Insider reported citing Nikkei Asia's report. All books that ""worship foreigners"" will be removed from schools' reading lists, a move that affects around 240 million students, Epoch Times reported.",world
We're uncomfortable with expanding Five Eyes: NZ foreign minister,"New Zealand's Foreign Affairs Minister Nanaia Mahuta said on Monday that the country was ""uncomfortable"" with expanding the role of the 'Five Eyes', an intelligence alliance between the US, UK, Australia, Canada and New Zealand. The group had in November last year criticised China on its ""actions against Hong Kong's legislature"". China is New Zealand's largest trading partner.",world
China's population to enter negative growth after 2025: Report,"China's population is set to experience a negative growth after 2025 that will result in a shortage of consumer demand, South China Morning Post reported quoting a Chinese economist. ""We need to pay attention to the impact of demographics on future consumption,"" the economist said. The comments come as China is due to release its latest census later this month.",world
Russia has massed over 1.5 lakh soldiers near Ukraine: EU,"Russia has massed over 1.5 lakh troops along the Ukrainian border and in annexed Crimea, European Union (EU) foreign policy chief Josep Borrell said on Monday. ""It is the highest Russian military deployment at Ukrainian borders ever,"" he added. Tensions between Russia and Ukraine have been rising amid the military build-up and clashes between Ukrainian forces and pro-Russian separatists.",world
Japan seeks release of Japanese journalist detained in Myanmar,The Japanese government said on Monday that it was seeking the release of a Japanese journalist who was detained in Yangon by Myanmar authorities a day earlier. Japanese Chief Cabinet Secretary Katsunobu Kato said that the government was seeking details on the circumstances surrounding the detention. BBC Burmese quoted a witness saying that journalist Yuki Kitazumi was taken into custody.,world
No guarantees about Afghanistan's future after our troops leave: US,"No one can offer guarantees about Afghanistan's future after American troops leave, US National Security Advisor Jake Sullivan said. ""All the US could do is provide...the Afghan government and the Afghan people resources and...assistance,"" he added. ""We've done that and now it's time for...Afghan people to step up to defend their own country,"" Sullivan further said.",world
France bears responsibility for enabling genocide that killed 8L: Rwanda,"France ""bears significant responsibility"" for enabling the Rwandan genocide that left 8 lakh people dead, a report by Rwanda said. France ""did nothing to stop"" the massacres in 1994 and in the years after the genocide tried to cover up its role and even offered protection to some perpetrators, it added. Groups of extremist Hutus had mainly killed ethnic Tutsis.",world
11 policemen held hostage by banned TLP released: Pak Interior Min,Pakistan's Interior Minister Sheikh Rashid Ahmed said on Monday that 11 policemen being held hostage by banned Islamist party Tehreek-e-Labbaik Pakistan (TLP) have been released. He added that TLP members have retreated inside a masjid. Protests had erupted in Pakistan over TLP head Saad Hussain Rizvi's arrest after he demanded the French ambassador be expelled over depictions of Prophet Muhammad.,world
Former Bihar Minister and JD(U) MLA Mewalal Choudhary dies due to COVID-19,"Former Bihar Education Minister and JD(U) MLA Mewalal Choudhary passed away due to COVID-19 at a hospital in Patna on Monday morning. The minister had tested positive for COVID-19 last week. Choudhary, who was the sitting MLA of Bihar's Tarapur constituency, was earlier removed as the state Education Minister on corruption charges.",politics
Telangana CM K Chandrashekar Rao tests positive for COVID-19,"Telangana Chief Minister K Chandrashekar Rao tested positive for COVID-19 on Monday. ""He has mild symptoms. He has been advised isolation and is staying at his farmhouse. A team of doctors is monitoring his health,"" said the state Chief Secretary. Telangana currently has 39,154 active COVID-19 cases and more than 1,800 people have died of the infection so far.",politics
"It's a short lockdown, don't leave Delhi: CM Kejriwal to migrant workers","Delhi CM Arvind Kejriwal on Monday appealed to the migrant labourers to not leave the capital after announcing a lockdown. He said, ""I appeal to you with folded hands. It's a small lockdown, only for six days. Don't leave Delhi."" He added, ""I'm very hopeful that we won't need to further extend the lockdown...The government will take care of you.""",politics
States must keep oxygen demand under control: Piyush Goyal,"Amid reports of shortage of medical oxygen in several states, Union Minister Piyush Goyal said state governments should keep their demand under control. He said, ""We need to use medical oxygen rationally and stop wastage. Patients should be given required amount of oxygen only."" He added, ""There are reports about patients being given oxygen even if they don't need it.""",politics
Health Minister responds to Dr Manmohan Singh's suggestions on vaccination,"Health Minister Dr Harsh Vardhan on Monday responded to former PM Dr Manmohan Singh's letter to PM Narendra Modi on ramping up COVID-19 vaccination. Vardhan said, ""It's saddening that while you understand importance of vaccination...people...in state governments formed by your party don't share your view."" He alleged that Congress leaders 'publically shamed' the vaccines but took them in private.",politics
Ex-PM Manmohan Singh tests positive for COVID-19; admitted to AIIMS in Delhi,"Former Prime Minister Dr Manmohan Singh tested positive for coronavirus and was admitted to the Trauma Centre at the All India Institute of Medical Sciences (AIIMS) in Delhi on Monday. The 88-year-old senior Congress leader had on Sunday written a letter addressed to PM Narendra Modi, offering suggestions on how to ramp up COVID-19 vaccination in India.",politics
Rajasthan Health Minister alleges discrimination in oxygen supply,"Rajasthan Health Minister Raghu Sharma on Monday accused the Centre of discrimination, claiming while 1,200 metric tonne oxygen was supplied to Gujarat, his state got only 124 metric tonne. ""Number of COVID-19 cases in Rajasthan and Gujarat are equal,"" he said. Rajasthan government has ordered the procurement of 1,500 oxygen condensers, which will provide oxygen to 3,000 patients, Sharma added.",politics
I will put coronavirus in Fadnavis' mouth if I find it: Sena MLA over Remdesivir row,"Shiv Sena MLA Sanjay Gaikwad has said if he had found coronavirus, he would have put it into the mouth of BJP leader Devendra Fadnavis. This comes after the former Chief Minister objected to Mumbai Police's interrogation of a pharmaceutical company's top executive over alleged stocking of Remdesivir drug. BJP workers staged protests and burnt Gaikwad's effigies after his remarks.",politics
K'taka govt planning to postpone local body polls due to COVID-19,"The Karnataka government is planning to postpone Zilla Panchayat and Taluk Panchayat elections due to the surge in COVID-19 cases, said state Minister for Rural Development and Panchayat Raj, K S Eshwarappa. The issue will be discussed by the State Cabinet and the decision would be conveyed to the Karnataka State Election Commission, Eshwarappa stated. ",politics
See Maharashtra's situation instead of accusing us: BJP to Priyanka,"Maharashtra BJP chief spokesperson Keshav Upadhye on Monday criticised Priyanka Gandhi Vadra for accusing former state Chief Minister Devendra Fadnavis for allegedly hoarding Remdesivir. He said, ""There is a crisis-like situation in Maharashtra. Shortage of beds, ventilators and oxygen have led people to die on the streets. Why cannot you [Priyanka] see that instead of accusing BJP.""


",politics
Mulayam Singh didn't vote in UP Panchayat polls: Nephew Dharmendra,"Samajwadi Party founder Mulayam Singh Yadav did not cast his vote in Uttar Pradesh Panchayat elections on Monday. This is the first time that the 81-year old didn't vote. ""We requested Netaji (Mulayam Singh Yadav) not to cast his vote this time for the Panchayat elections in the wake of COVID-19 pandemic,"" said Dharmendra Yadav, nephew of Mulayam Singh Yadav. ",politics
Maharashtra must set up welfare office in K'taka's Belagavi: Raut,"Shiv Sena leader Sanjay Raut on Sunday said Maharashtra government must set up an office in Belagavi, a district in Karnataka which Maharashtra claims is Marathi-speaking and therefore must be merged with the state. He said the state should strengthen its stand against Karnataka in boundary dispute case and Maharashtra's advocate general should meet Marathi-speaking people in the border areas. ",politics
National security jeopardised by govt: Rahul on talks with China,"Congress leader Rahul Gandhi on Monday hit out at the government saying that national security is ""massively jeopardised"" by its ""wasteful talks"" with China. ""Chinese occupation of Gogra-Hot Springs and Depsang plains is a direct threat to India's strategic interests including the [Daulat Beg Oldi] airstrip,"" he added. Earlier, India and China held the 11th round of talks on disengagement. ",politics
Allow us to get vaccines directly with state funds: Mamata to PM,"West Bengal CM Mamata Banerjee on Sunday wrote a letter to PM Narendra Modi once again seeking the Centre's permission to ""purchase [COVID-19] vaccination doses directly with state funds and launch a massive free vaccination campaign in the state covering the entire population"". She also said that the supply of vaccines from the Centre has been ""scarce and erratic"".",politics
BJD won't hold any public rallies for Pipili bypoll: Odisha CM,"In view of the rising coronavirus cases, Odisha Chief Minister Naveen Patnaik on Monday said that the ruling BJD has decided not to hold any public rallies or campaign meetings for the Pipili bypoll. ""I would earnestly appeal to political parties and EC to reconsider both the duration and method of campaigning,"" added the Chief Minister.",politics
Crime against humanity: Priyanka accuses Fadnavis of hoarding Remdesivir,"Congress General Secretary Priyanka Gandhi Vadra criticised former Maharashtra CM Devendra Fadnavis over the alleged hoarding of Remdesivir injections. ""The act of hoarding by the BJP leader who was once in a responsible position is a crime against humanity,"" Priyanka tweeted. She also shared a video in which Fadnavis and others were seen arguing with police officers.",politics
SC rejects plea for 100% matching of VVPAT slips with EVMs count,"The Supreme Court on Monday dismissed a plea seeking 100% matching of VVPAT slips with EVMs count in Assembly elections. The court said, ""We're not going to interfere in the middle of election process."" In April 2019, the court directed EC to increase random matching of VVPAT slips with EVMs to five booths per assembly segment in Lok Sabha polls. ",politics
K'taka Home Minister urges KSRTC employees to withdraw strike,"Karnataka Home Minister Basavaraj S Bommai on Monday said that he had a meeting with Kodihalli Chandrashekar, who is leading Karnataka State Road Transport Corporation (KSRTC) employees' strike, and has asked him to withdraw the strike and return to work. KSRTC employees have given a call for a strike with certain demands including salary hike, permanent job, wages and shifts. ",politics
PM Modi not demonstrating role as PM: CPI(M) on Bengal poll rallies,"The CPI(M) on Sunday alleged that Prime Minister Narendra Modi is demonstrating his role as a ""partisan party campaigner"" and not that of country's PM. Referring to BJP rallies in Bengal, CPI(M) General Secretary Sitaram Yechury said, ""PM's priority is the election campaign. If any time is left, he does something perfunctory for TV images and headlines. A sorry state.""",politics
"Phase 2 of UP Panchayat polls tomorrow; Lucknow, Varanasi to vote",Voting for the second phase of the Uttar Pradesh Panchayat polls will be held on Monday. More than 3.48 lakh candidates are in the fray for over 2.23 lakh posts in 20 districts. The second phase assumes significance as state capital Lucknow and Varanasi will go to polls in this round.,politics
